08131020;Sem caroço
08132010;Com caroço
08132020;Sem caroço
08133000;Maçãs
08134040;Pêras
08134050;Tamarindos
08134060;Mosqueta
08134090;Outros
08135000;Misturas de frutas secas ou de frutas de casca
08140000;Cascas de cítricos, de melões ou de melancias,
09011110;Em grão
09011190;Outros
09011200;Descafeinado
09012100;Não descafeinado
09012200;Descafeinado
09019000;Outros
09021000;Chá verde (não fermentado) em embalagens imediatas
09022000;Chá verde (não fermentado) apresentado de qualquer
09023000;Chá preto (fermentado) e chá parcialmente
09024000;Chá preto (fermentado) e chá parcialmente
09030010;Simplesmente cancheado
09030090;Outros
09041100;Não triturada nem em pó
09041200;Triturada ou em pó
09042000;Pimentões e pimentas (pimentos*), secos ou
09050000;Baunilha
09061000;Não trituradas nem em pó
09061100;Canela (Cinnamomum zeylanicum blume)
09061900;Outras
09062000;Trituradas ou em pó
09070000;Cravodaíndia (frutos, flores e pedúnculos)
09081000;Nozmoscada
09082000;Macis
09083000;Amomos e cardamomos
09091010;De anis
09091020;De badiana
09092000;Sementes de coentro
09093000;Sementes de cominho
09094000;Sementes de alcaravia
09095000;Sementes de funcho; bagas de zimbro
09101000;Gengibre
09102000;Açafrão
09103000;Açafrãodaterra (curcuma*)
09104000;Tomilho; louro
09105000;Caril
09109100;Misturas mencionadas na Nota 1 b) do presente
09109900;Outras
09109910;Tomilho; louro
09109990;Outras
10011000;Trigo duro
10019010;Trigo
10019020;Mistura de trigo com centeio
10020000;Centeio
10030000;Cevada
10040000;Aveia
10051000;Para semeadura
10059020;Em grão
10059090;Outros
10061010;Não parboilizado
10061020;Parboilizado
10061092;ARROZ NAO PARBOLIZADO
10062000;Arroz descascado (arroz "cargo" ou castanho)
10062020;ARROZ DESCASCADO (ARROZ "CARGO" OU CASTANHADO)
10063010;Sem polir ou brunir
10063020;Polido ou brunido
10063021;ARROZ POLIDO OU BRUNIDO
10064000;Arroz quebrado (trinca de arroz*)
10070000;Sorgo de grão
10081000;Trigo mourisco
10082000;Painço
10083000;Alpiste
10089000;Outros cereais
11010000;Farinhas de trigo ou de mistura de trigo com
11021000;Farinha de centeio
11022000;Farinha de milho
11023000;Farinha de arroz
11029010;De aveia
